Statement,Link,Date, Source, Label
Russia’s Army was “destroyed.”,https://www.politifact.com/factchecks/2022/dec/19/facebook-posts/no-russias-army-wasnt-destroyed/,mber 19^ 2022,Facebook posts,false
Cellphones can be used to pop popcorn kernels.,https://www.politifact.com/factchecks/2022/dec/19/facebook-posts/video-cellphones-used-pop-popcorn-kernels-part-vir/,mber 19^ 2022,Facebook posts,false
A video shows Nancy Pelosi unveiling a portrait of former U.S. Energy Department employee.,https://www.politifact.com/factchecks/2022/dec/19/viral-image/pelosi-unveiled-her-own-portrait-us-capitol/,mber 19^ 2022,Viral image,false
Florida Senate Bill 2A does not provide "immediate relief" to homeowners dealing with high property insurance rates and "will force some … constituents to pay up to 20% more.",https://www.politifact.com/factchecks/2022/dec/19/rita-harris/floridas-property-insurance-overhaul-doesnt-promis/,mber 19^ 2022,Rita Harris,mostly-true
The U.S. "trade deficit with China has gone from about $80 billion a year in the 1990s to $400 billion a year.”,https://www.politifact.com/factchecks/2022/dec/19/ro-khanna/us-trade-deficit-china-now-400-billion-year-much-h/,mber 19^ 2022,Ro Khanna,mostly-true
A video shows lawmakers in compromising positions with children.,https://www.politifact.com/factchecks/2022/dec/16/viral-image/no-these-images-dont-show-politicians-acting-inapp/,mber 16^ 2022,Viral image,pants-fire
A “well-crafted garlic salve” can “heal any ailment of the lungs and respiratory system.”,https://www.politifact.com/factchecks/2022/dec/16/instagram-posts/no-garlic-salve-cannot-be-used-treat-rsv-croup-or/,mber 16^ 2022,Instagram posts,false
A video shows Rep. Jim Jordan threatening House Speaker Nancy Pelosi with “‘possible’ jail time.”,https://www.politifact.com/factchecks/2022/dec/16/facebook-posts/no-this-video-doesnt-show-jim-jordan-threatening-n/,mber 16^ 2022,Facebook posts,pants-fire
Says U.S. Rep. Katie Porter^ D-Calif.^ “says pedophilia isn’t a crime — it’s an identity.”,https://www.politifact.com/factchecks/2022/dec/16/viral-image/katie-porter-didnt-call-pedophilia-an-identity/,mber 16^ 2022,Viral image,pants-fire
"Latina workers make 54 cents for every dollar earned by white^ non-Hispanic men.",https://www.politifact.com/factchecks/2022/dec/16/tammy-baldwin/yes-wage-gap-does-have-big-impact-latina-workers/,mber 16^ 2022,Tammy Baldwin,true
Human traffickers are putting toxin-laced tissues on gas pumps and door handles^ then waiting for potential victims to pass out.,https://www.politifact.com/factchecks/2022/dec/16/instagram-posts/no-evidence-human-traffickers-using-toxic-tissues/,mber 16^ 2022,Instagram posts,false
The COVID-19 vaccines were linked to the deaths of 80 Canadian doctors.,https://www.politifact.com/factchecks/2022/dec/16/instagram-posts/claims-80-canadian-doctors-died-because-covid-19-v/,mber 16^ 2022,Instagram posts,false
There are a record high cases of flu in the U.S. this year^ and “last year there were none.”,https://www.politifact.com/factchecks/2022/dec/15/instagram-posts/influenza-caused-9-million-illnesses-5000-deaths-l/,mber 15^ 2022,Instagram posts,false
Stephen Boss died because of the COVID-19 vaccine.,https://www.politifact.com/factchecks/2022/dec/15/tweets/tephen-twitch-boss-didnt-die-because-of-the-covid/,mber 15^ 2022,Tweets,false
Video shows Sen. John Kennedy telling Secretary of Homeland Security Alejandro Mayorkas^ “You will be impeached.”,https://www.politifact.com/factchecks/2022/dec/15/facebook-posts/video-doesnt-show-senator-telling-mayorkas-he-woul/,mber 15^ 2022,Facebook posts,false
Video shows Attorney General Merrick Garland saying^ “Wait for revenge.”,https://www.politifact.com/factchecks/2022/dec/15/facebook-posts/no-merrick-garland-doesnt-tell-john-kennedy-to-wai/,mber 15^ 2022,Facebook posts,pants-fire
